comparison,description,metric,lower_is_better,n_patients,mean_diff,std_diff,ci_lo_95,ci_hi_95,cohens_dz,shapiro_p,t_stat,t_pvalue,t_pvalue_fdr,wilcoxon_p,wilcoxon_p_fdr,pct_A_wins
model_base,DoseGAN baseline − U-Net baseline,bladder_Dmean_diff,True,367,-0.1344,0.5469,-0.19,-0.0782,-0.246,0.1802,-4.708,0.0,0.0,0.0,0.0,59.4
model_base,DoseGAN baseline − U-Net baseline,abs_bladder_Dmean_diff,True,367,0.0307,0.5166,-0.0225,0.0832,0.059,0.0028,1.139,0.2556,0.2556,0.4197,0.4197,49.0
model_base,DoseGAN baseline − U-Net baseline,Dice_100iso,False,367,0.0056,0.0066,0.0049,0.0063,0.849,0.0,16.261,0.0,0.0,0.0,0.0,83.7
model_base,DoseGAN baseline − U-Net baseline,Dice_50iso,False,367,-0.0067,0.0161,-0.0083,-0.005,-0.414,0.8009,-7.933,0.0,0.0,0.0,0.0,33.0
model_base,DoseGAN baseline − U-Net baseline,HD95_100iso_mm,True,367,-0.8453,11.4117,-2.098,-0.1883,-0.074,0.0,-1.419,0.1568,0.1655,0.0,0.0,32.2
model_geom,DoseGAN geom − U-Net geom,body_MAE_Gy,True,367,-0.007,0.0941,-0.0166,0.0024,-0.075,0.0,-1.428,0.1543,0.1725,0.3774,0.4218,52.0
model_geom,DoseGAN geom − U-Net geom,body_RMSE_Gy,True,367,-0.0307,0.155,-0.0464,-0.0151,-0.198,0.0269,-3.796,0.0002,0.0004,0.0003,0.0005,58.0
model_geom,DoseGAN geom − U-Net geom,ptv_MAE_Gy,True,367,-0.0273,0.1395,-0.0414,-0.0129,-0.196,0.0,-3.746,0.0002,0.0004,0.0,0.0,69.8
model_geom,DoseGAN geom − U-Net geom,rectum_MAE_Gy,True,367,0.1132,0.451,0.0676,0.1606,0.251,0.0231,4.808,0.0,0.0,0.0,0.0,37.9
model_geom,DoseGAN geom − U-Net geom,bladder_MAE_Gy,True,367,0.0561,0.3617,0.0191,0.0927,0.155,0.0003,2.97,0.0032,0.0047,0.0066,0.0084,44.4
model_geom,DoseGAN geom − U-Net geom,boundary_MAE_ptv_Gy,True,367,0.0266,0.1807,0.0082,0.0453,0.147,0.0089,2.823,0.005,0.0066,0.0028,0.0038,44.1
model_geom,DoseGAN geom − U-Net geom,boundary_MAE_rectum_Gy,True,367,0.0472,0.2344,0.0237,0.0722,0.202,0.0181,3.861,0.0001,0.0002,0.0,0.0,41.1
model_geom,DoseGAN geom − U-Net geom,boundary_MAE_bladder_Gy,True,367,0.0392,0.221,0.0166,0.062,0.178,0.0787,3.401,0.0007,0.0011,0.0008,0.0012,43.1
model_geom,DoseGAN geom − U-Net geom,ptv_D95_diff,True,367,0.0545,0.3021,0.0224,0.0846,0.18,0.0,3.454,0.0006,0.001,0.0,0.0,33.5
model_geom,DoseGAN geom − U-Net geom,abs_ptv_D95_diff,True,367,0.0026,0.2033,-0.0179,0.0232,0.013,0.2034,0.247,0.8047,0.8047,0.5676,0.5676,46.9
model_geom,DoseGAN geom − U-Net geom,ptv_Dmean_diff,True,367,-0.3075,0.3278,-0.3421,-0.2744,-0.938,0.0,-17.971,0.0,0.0,0.0,0.0,88.6
model_geom,DoseGAN geom − U-Net geom,abs_ptv_Dmean_diff,True,367,0.0804,0.228,0.0571,0.1041,0.353,0.0,6.757,0.0,0.0,0.0,0.0,41.1
model_geom,DoseGAN geom − U-Net geom,rectum_Dmean_diff,True,367,-0.1516,0.6731,-0.2182,-0.0822,-0.225,0.379,-4.315,0.0,0.0,0.0001,0.0002,56.9
model_geom,DoseGAN geom − U-Net geom,abs_rectum_Dmean_diff,True,367,0.062,0.6014,0.0013,0.1249,0.103,0.5224,1.974,0.0491,0.0583,0.0558,0.0663,45.0
model_geom,DoseGAN geom − U-Net geom,bladder_Dmean_diff,True,367,0.1334,0.5693,0.0759,0.1908,0.234,0.5443,4.488,0.0,0.0,0.0,0.0,40.6
model_geom,DoseGAN geom − U-Net geom,abs_bladder_Dmean_diff,True,367,0.0223,0.5061,-0.0292,0.0746,0.044,0.905,0.843,0.3998,0.422,0.4728,0.4991,48.0
model_geom,DoseGAN geom − U-Net geom,Dice_100iso,False,367,0.0063,0.006,0.0057,0.0069,1.046,0.0,20.04,0.0,0.0,0.0,0.0,91.0
model_geom,DoseGAN geom − U-Net geom,Dice_50iso,False,367,-0.0023,0.0154,-0.0038,-0.0007,-0.147,0.0,-2.812,0.0052,0.0066,0.0004,0.0006,39.8
model_geom,DoseGAN geom − U-Net geom,HD95_100iso_mm,True,367,-0.2162,0.3485,-0.2516,-0.181,-0.62,0.0,-11.884,0.0,0.0,0.0,0.0,37.9
